Cantidad Material: 8709
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 7,226,638,763  COP| 1,466,348.000  ***|         0.000  ***|
|0000001889        |             0  COP|             0  UN |             0  UN |
|0000001890        |             0  COP|             0  UN |             0  UN |
|0000001904        |             0  COP|             0  UN |             0  UN |
|0000001915        |             0  COP|             0  UN |             0  UN |
|0000001926        |             0  COP|             0  UN |             0  UN |
|0000001937        |             0  COP|             0  UN |             0  UN |
|0000001948        |             0  COP|             0  UN |             0  UN |
|0000001959        |             0  COP|             0  UN |             0  UN |
|0000001960        |             0  COP|             0  UN |             0  UN |
|0000001971        |             0  COP|             0  UN |             0  UN |
|0000001982        |             0  COP|             0  UN |             0  UN |
|0000001993        |             0  COP|             0  UN |             0  UN |
|0000002004        |             0  COP|             0  UN |             0  UN |
|0000002015        |             0  COP|             0  UN |             0  UN |
|0000002026        |             0  COP|             0  UN |             0  UN |
|0000002037        |             0  COP|             0  UN |             0  UN |
|0000002048        |             0  COP|             0  UN |             0  UN |
|0000002059        |             0  COP|             0  UN |             0  UN |
|0000002060        |             0  COP|             0  UN |             0  UN |
|0000002071        |             0  COP|             0  UN |             0  UN |
|0000002082        |             0  COP|             0  UN |             0  UN |
|0000002093        |             0  COP|             0  UN |             0  UN |
|0000002107        |             0  COP|             0  UN |             0  UN |
|0000002118        |             0  COP|             0  UN |             0  UN |
|0000002129        |             0  COP|             0  UN |             0  UN |
|0000002130        |             0  COP|             0  UN |             0  UN |
|0000002141        |             0  COP|             0  UN |             0  UN |
|0000002152        |             0  COP|             0  UN |             0  UN |
|0000002163        |             0  COP|             0  UN |             0  UN |
|0000002174        |             0  COP|             0  UN |             0  UN |
|0000002185        |             0  COP|             0  UN |             0  UN |
|0000002196        |             0  COP|             0  UN |             0  UN |
|0000002200        |             0  COP|             0  UN |             0  UN |
|0000002211        |             0  COP|             0  UN |             0  UN |
