Cantidad Material: 11060
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 1,053,671,383  COP|   368,444.958  ***|         0.000  ***|
|000218            |             0  COP|             0  KG |             0  KG |
|0002181HS0        |             0  COP|             0  KG |             0  KG |
|002200            |             0  COP|             0  KG |             0  KG |
|00238             |             0  COP|             0  UN |             0  UN |
|00329             |             0  COP|             0  UN |             0  UN |
|00330             |             0  COP|             0  UN |             0  UN |
|00331             |             0  COP|             0  UN |             0  UN |
|00365             |             0  COP|             0  UN |             0  UN |
|00366             |             0  COP|             0  UN |             0  UN |
|00367             |             0  COP|             0  UN |             0  UN |
|00368             |             0  COP|             0  UN |             0  UN |
|00370             |             0  COP|             0  UN |             0  UN |
|00393             |             0  COP|             0  UN |             0  UN |
|00394             |             0  COP|             0  UN |             0  UN |
|00436             |             0  COP|             0  UN |             0  UN |
|00437             |             0  COP|             0  UN |             0  UN |
|00488             |             0  COP|             0  UN |             0  UN |
|00489             |             0  COP|             0  UN |             0  UN |
|00511             |             0  COP|             0  UN |             0  UN |
|008101            |             0  COP|             0  KG |             0  KG |
|016907            |             0  COP|             0  KG |             0  KG |
|02335             |             0  COP|             0  UN |             0  UN |
|026818            |             0  COP|             0  KG |             0  KG |
|0268181HS0        |             0  COP|             0  KG |             0  KG |
|0370ME            |             0  COP|             0  KG |             0  KG |
|042607            |             0  COP|             0  KG |             0  KG |
|049301            |             0  COP|             0  KG |             0  KG |
|05023             |             0  COP|             0  UN |             0  UN |
|055401            |             0  COP|             0  KG |             0  KG |
|078110 HN0        |             0  COP|             0  KG |             0  KG |
|080706            |             0  COP|             0  KG |             0  KG |
|0879400GA0        |             0  COP|             0  KG |             0  KG |
|098964AMPO        |             0  COP|             0  UN |             0  UN |
|1-00246           |             0  COP|             0  KG |             0  KG |
|1-00288           |             0  COP|             0  KG |             0  KG |
|1-00294           |             0  COP|             0  KG |             0  KG |
|1-00296           |             0  COP|             0  KG |             0  KG |
|1-00298           |             0  COP|             0  KG |             0  KG |
|1-00305           |             0  COP|             0  KG |             0  KG |
|1-00306           |             0  COP|             0  KG |             0  KG |
|1-00307           |             0  COP|             0  KG |             0  KG |
|1-00309           |             0  COP|             0  KG |             0  KG |
|1-00537           |             0  COP|             0  KG |             0  KG |
|1-00538           |             0  COP|             0  KG |             0  KG |
|1-00539           |             0  COP|             0  KG |             0  KG |
|1-00540           |             0  COP|             0  KG |             0  KG |
|1-00545           |             0  COP|             0  KG |             0  KG |
|1-00670           |             0  COP|             0  KG |             0  KG |
|1-00674           |             0  COP|             0  KG |             0  KG |
|1-00676           |             0  COP|             0  KG |             0  KG |
|1-00678           |             0  COP|             0  KG |             0  KG |
|1-00686           |             0  COP|             0  KG |             0  KG |
|1-00698           |             0  COP|             0  KG |             0  KG |
|1-00707           |             0  COP|             0  KG |             0  KG |
|1-0083            |             0  COP|             0  KG |             0  KG |
|1-00835           |             0  COP|             0  KG |             0  KG |
|1-00836           |             0  COP|             0  KG |             0  KG |
|1-00839           |             0  COP|             0  KG |             0  KG |
|1-00847           |             0  COP|             0  KG |             0  KG |
|1-00848           |             0  COP|             0  KG |             0  KG |
|1-00857           |             0  COP|             0  KG |             0  KG |
|1-00858           |             0  COP|             0  KG |             0  KG |
|1-00864           |             0  COP|             0  KG |             0  KG |
|1-00879           |             0  COP|             0  KG |             0  KG |
|1-00928           |             0  COP|             0  KG |             0  KG |
|1-00937           |             0  COP|             0  KG |             0  KG |
|1-00939           |             0  COP|             0  KG |             0  KG |
|1-00978           |             0  COP|             0  KG |             0  KG |
|1-01094           |             0  COP|             0  KG |             0  KG |
|1-01097           |             0  COP|             0  KG |             0  KG |
|1-01369           |             0  COP|             0  KG |             0  KG |
|1-01370           |             0  COP|             0  KG |             0  KG |
|1-01376           |             0  COP|             0  KG |             0  KG |
|1-01424           |             0  COP|             0  KG |             0  KG |
|1-01425           |             0  COP|             0  KG |             0  KG |
|1-01429           |             0  COP|             0  KG |             0  KG |
|1-01439           |             0  COP|             0  KG |             0  KG |
|1-01497           |             0  COP|             0  KG |             0  KG |
|1-01498           |             0  COP|             0  KG |             0  KG |
|1-01500           |             0  COP|             0  KG |             0  KG |
|1-01504           |             0  COP|             0  KG |             0  KG |
|1-01509           |             0  COP|             0  KG |             0  KG |
|1-01529           |             0  COP|             0  KG |             0  KG |
|1-01548           |             0  COP|             0  KG |             0  KG |
|1-01638           |             0  COP|             0  KG |             0  KG |
|1-01640           |             0  COP|             0  KG |             0  KG |
|1-01644           |             0  COP|             0  KG |             0  KG |
|1-01645           |             0  COP|             0  KG |             0  KG |
|1-01764           |             0  COP|             0  KG |             0  KG |
|1-01765           |             0  COP|             0  KG |             0  KG |
|1-01766           |             0  COP|             0  KG |             0  KG |
|1-01768           |             0  COP|             0  KG |             0  KG |
|1-01769           |             0  COP|             0  KG |             0  KG |
|1-01770           |             0  COP|             0  KG |             0  KG |
|1-01778           |             0  COP|             0  KG |             0  KG |
|1-01794           |             0  COP|             0  KG |             0  KG |
|1-01829           |             0  COP|             0  KG |             0  KG |
|1-01866           |             0  COP|             0  KG |             0  KG |
|1-01895           |             0  COP|             0  KG |             0  KG |
|1-02076           |             0  COP|             0  KG |             0  KG |
|1-02079           |             0  COP|             0  KG |             0  KG |
|1-02085           |             0  COP|             0  KG |             0  KG |
|1-02100           |             0  COP|             0  KG |             0  KG |
|1-02105           |             0  COP|             0  KG |             0  KG |
|1-02119           |             0  COP|             0  KG |             0  KG |
|1-02250           |             0  COP|             0  KG |             0  KG |
|1-02256           |             0  COP|             0  KG |             0  KG |
|1-02394           |             0  COP|             0  KG |             0  KG |
|1-02464           |             0  COP|             0  KG |             0  KG |
|1-02466           |             0  COP|             0  KG |             0  KG |
|1-02467           |             0  COP|             0  KG |             0  KG |
|1-02525           |             0  COP|             0  KG |             0  KG |
|1-02540           |             0  COP|             0  KG |             0  KG |
|1-02645           |             0  COP|             0  KG |             0  KG |
|1-02647           |             0  COP|             0  KG |             0  KG |
|1-02657           |             0  COP|             0  KG |             0  KG |
|1-02683HS0        |             0  COP|             0  KG |             0  KG |
|1-02759           |             0  COP|             0  KG |             0  KG |
|1-02834           |             0  COP|             0  KG |             0  KG |
|1-02867           |             0  COP|             0  KG |             0  KG |
|1-02878           |             0  COP|             0  KG |             0  KG |
|1-02885           |             0  COP|             0  KG |             0  KG |
|1-02901HS0        |             0  COP|             0  KG |             0  KG |
|1-02924           |             0  COP|             0  KG |             0  KG |
|1-02938           |             0  COP|             0  KG |             0  KG |
|1-02995           |             0  COP|             0  KG |             0  KG |
|1-03191HS0        |             0  COP|             0  KG |             0  KG |
|1-03260           |             0  COP|             0  KG |             0  KG |
|1-03408           |             0  COP|             0  KG |             0  KG |
|1-03414           |             0  COP|             0  KG |             0  KG |
|1-03418           |             0  COP|             0  KG |             0  KG |
|1-03429           |             0  COP|             0  KG |             0  KG |
|1-03434           |             0  COP|             0  KG |             0  KG |
|1-03438           |             0  COP|             0  KG |             0  KG |
|1-03439           |             0  COP|             0  KG |             0  KG |
|1-03440           |             0  COP|             0  KG |             0  KG |
|1-03445           |             0  COP|             0  KG |             0  KG |
|1-03446           |             0  COP|             0  KG |             0  KG |
|1-0347            |             0  COP|             0  KG |             0  KG |
|1-0347-1HS        |             0  COP|             0  KG |             0  KG |
|1-03488           |             0  COP|             0  KG |             0  KG |
|1-03494           |             0  COP|             0  KG |             0  KG |
|1-03507           |             0  COP|             0  KG |             0  KG |
|1-03517           |             0  COP|             0  KG |             0  KG |
|1-03524           |             0  COP|             0  KG |             0  KG |
|1-03534           |             0  COP|             0  KG |             0  KG |
|1-03538           |             0  COP|             0  KG |             0  KG |
|1-03539           |             0  COP|             0  KG |             0  KG |
|1-03545           |             0  COP|             0  KG |             0  KG |
|1-03549           |             0  COP|             0  KG |             0  KG |
|1-03550           |             0  COP|             0  KG |             0  KG |
|1-03554           |             0  COP|             0  KG |             0  KG |
|1-03555           |             0  COP|             0  KG |             0  KG |
|1-03556           |             0  COP|             0  KG |             0  KG |
|1-03559           |             0  COP|             0  KG |             0  KG |
|1-03577           |             0  COP|             0  KG |             0  KG |
|1-03596           |             0  COP|             0  KG |             0  KG |
|1-03626           |             0  COP|             0  KG |             0  KG |
|1-03627           |             0  COP|             0  KG |             0  KG |
|1-03629           |             0  COP|             0  KG |             0  KG |
|1-03656           |             0  COP|             0  KG |             0  KG |
|1-03696           |             0  COP|             0  KG |             0  KG |
|1-03738           |             0  COP|             0  KG |             0  KG |
|1-03739           |             0  COP|             0  KG |             0  KG |
|1-03763GA0        |             0  COP|             0  KG |             0  KG |
|1-03776           |             0  COP|             0  KG |             0  KG |
|1-03777           |             0  COP|             0  KG |             0  KG |
|1-03785           |             0  COP|             0  KG |             0  KG |
|1-03797           |             0  COP|             0  KG |             0  KG |
|1-03858           |             0  COP|             0  KG |             0  KG |
