Cantidad Material: 11060
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
|1-03859           |             0  COP|             0  KG |             0  KG |
|1-03864           |             0  COP|             0  KG |             0  KG |
|1-03865           |             0  COP|             0  KG |             0  KG |
|1-03867           |             0  COP|             0  KG |             0  KG |
|1-03869           |             0  COP|             0  KG |             0  KG |
|1-03906           |             0  COP|             0  KG |             0  KG |
|1-03908           |             0  COP|             0  KG |             0  KG |
|1-03926           |             0  COP|             0  KG |             0  KG |
|1-03927           |             0  COP|             0  KG |             0  KG |
|1-03930           |             0  COP|             0  KG |             0  KG |
|1-03934           |             0  COP|             0  KG |             0  KG |
|1-03955           |             0  COP|             0  KG |             0  KG |
|1-03958           |             0  COP|             0  KG |             0  KG |
|1-03960           |             0  COP|             0  KG |             0  KG |
|1-03978           |             0  COP|             0  KG |             0  KG |
|1-04035           |             0  COP|             0  KG |             0  KG |
|1-04036           |             0  COP|             0  KG |             0  KG |
|1-04037           |             0  COP|             0  KG |             0  KG |
|1-04051HS0        |             0  COP|             0  KG |             0  KG |
|1-04085           |             0  COP|             0  KG |             0  KG |
|1-04086           |             0  COP|             0  KG |             0  KG |
|1-04094           |             0  COP|             0  KG |             0  KG |
|1-04095           |             0  COP|             0  KG |             0  KG |
|1-04105           |             0  COP|             0  KG |             0  KG |
|1-04106           |             0  COP|             0  KG |             0  KG |
|1-04107           |             0  COP|             0  KG |             0  KG |
|1-04108           |             0  COP|             0  KG |             0  KG |
|1-04113GA0        |             0  COP|             0  KG |             0  KG |
|1-04114           |             0  COP|             0  KG |             0  KG |
|1-04125           |             0  COP|             0  KG |             0  KG |
|1-04138           |             0  COP|             0  KG |             0  KG |
|1-04140           |             0  COP|             0  KG |             0  KG |
|1-04180           |             0  COP|             0  KG |             0  KG |
|1-04185           |             0  COP|             0  KG |             0  KG |
|1-04186           |             0  COP|             0  KG |             0  KG |
|1-04415           |             0  COP|             0  KG |             0  KG |
|1-04417           |             0  COP|             0  KG |             0  KG |
|1-04424           |             0  COP|             0  KG |             0  KG |
|1-04425           |             0  COP|             0  KG |             0  KG |
|1-04426           |             0  COP|             0  KG |             0  KG |
|1-04427           |             0  COP|             0  KG |             0  KG |
|1-04430           |             0  COP|             0  KG |             0  KG |
|1-04445           |             0  COP|             0  KG |             0  KG |
|1-04454           |             0  COP|             0  KG |             0  KG |
|1-04456           |             0  COP|             0  KG |             0  KG |
|1-04457           |             0  COP|             0  KG |             0  KG |
|1-04460           |             0  COP|             0  KG |             0  KG |
|1-04465           |             0  COP|             0  KG |             0  KG |
|1-04469           |             0  COP|             0  KG |             0  KG |
|1-04479           |             0  COP|             0  KG |             0  KG |
|1-04488           |             0  COP|             0  KG |             0  KG |
|1-04496           |             0  COP|             0  KG |             0  KG |
|1-04498           |             0  COP|             0  KG |             0  KG |
|1-04500           |             0  COP|             0  KG |             0  KG |
|1-04508           |             0  COP|             0  KG |             0  KG |
|1-04509           |             0  COP|             0  KG |             0  KG |
|1-04514           |             0  COP|             0  KG |             0  KG |
|1-04526           |             0  COP|             0  KG |             0  KG |
|1-04786           |             0  COP|             0  KG |             0  KG |
|1-04787           |             0  COP|             0  KG |             0  KG |
|1-04788           |             0  COP|             0  KG |             0  KG |
|1-04870           |             0  COP|             0  KG |             0  KG |
|1-04904           |             0  COP|             0  KG |             0  KG |
|1-04933GA0        |             0  COP|             0  KG |             0  KG |
|1-04957           |             0  COP|             0  KG |             0  KG |
|1-04968           |             0  COP|             0  KG |             0  KG |
|1-05026           |             0  COP|             0  KG |             0  KG |
|1-05054           |             0  COP|             0  KG |             0  KG |
|1-05114           |             0  COP|             0  KG |             0  KG |
|1-05116           |             0  COP|             0  KG |             0  KG |
|1-05117           |             0  COP|             0  KG |             0  KG |
|1-05118           |             0  COP|             0  KG |             0  KG |
|1-05124           |             0  COP|             0  KG |             0  KG |
|1-05125           |             0  COP|             0  KG |             0  KG |
|1-05126           |             0  COP|             0  KG |             0  KG |
|1-05127           |             0  COP|             0  KG |             0  KG |
|1-05160           |             0  COP|             0  KG |             0  KG |
|1-05167           |             0  COP|             0  KG |             0  KG |
|1-05184           |             0  COP|             0  KG |             0  KG |
|1-05210           |             0  COP|             0  KG |             0  KG |
|1-05248           |             0  COP|             0  KG |             0  KG |
|1-05369           |             0  COP|             0  KG |             0  KG |
|1-05384           |             0  COP|             0  KG |             0  KG |
|1-05387           |             0  COP|             0  KG |             0  KG |
|1-05398           |             0  COP|             0  KG |             0  KG |
|1-05454           |             0  COP|             0  KG |             0  KG |
|1-05466           |             0  COP|             0  KG |             0  KG |
|1-05467           |             0  COP|             0  KG |             0  KG |
|1-05468           |             0  COP|             0  KG |             0  KG |
|1-05577           |             0  COP|             0  KG |             0  KG |
|1-05578           |             0  COP|             0  KG |             0  KG |
|1-05579           |             0  COP|             0  KG |             0  KG |
|1-05664           |             0  COP|             0  KG |             0  KG |
|1-05687           |             0  COP|             0  KG |             0  KG |
|1-05718           |             0  COP|             0  KG |             0  KG |
|1-05730           |             0  COP|             0  KG |             0  KG |
|1-05734           |             0  COP|             0  KG |             0  KG |
|1-05787           |             0  COP|             0  KG |             0  KG |
|1-05790           |             0  COP|             0  KG |             0  KG |
|1-05824           |             0  COP|             0  KG |             0  KG |
|1-05829           |             0  COP|             0  KG |             0  KG |
|1-05837           |             0  COP|             0  KG |             0  KG |
|1-0595-1GS        |             0  COP|             0  KG |             0  KG |
|1-0596-1GS        |             0  COP|             0  KG |             0  KG |
|1-06018           |             0  COP|             0  KG |             0  KG |
|1-06206           |             0  COP|             0  KG |             0  KG |
|1-06228           |             0  COP|             0  KG |             0  KG |
|1-06275           |             0  COP|             0  KG |             0  KG |
|1-06276           |             0  COP|             0  KG |             0  KG |
|1-06278           |             0  COP|             0  KG |             0  KG |
|1-06280           |             0  COP|             0  KG |             0  KG |
|1-06285           |             0  COP|             0  KG |             0  KG |
|1-06290           |             0  COP|             0  KG |             0  KG |
|1-06295           |             0  COP|             0  KG |             0  KG |
|1-06296           |             0  COP|             0  KG |             0  KG |
|1-06297           |             0  COP|             0  KG |             0  KG |
|1-06304           |             0  COP|             0  KG |             0  KG |
|1-06307           |             0  COP|             0  KG |             0  KG |
|1-06308           |             0  COP|             0  KG |             0  KG |
|1-06315           |             0  COP|             0  KG |             0  KG |
|1-06318           |             0  COP|             0  KG |             0  KG |
|1-06324           |             0  COP|             0  KG |             0  KG |
|1-06359           |             0  COP|             0  KG |             0  KG |
|1-06419           |             0  COP|             0  KG |             0  KG |
|1-06449           |             0  COP|             0  KG |             0  KG |
|1-06460           |             0  COP|             0  KG |             0  KG |
|1-06504           |             0  COP|             0  KG |             0  KG |
|1-06535           |             0  COP|             0  KG |             0  KG |
|1-06607           |             0  COP|             0  KG |             0  KG |
|1-06610           |             0  COP|             0  KG |             0  KG |
|1-06778           |             0  COP|             0  KG |             0  KG |
|1-07024           |             0  COP|             0  KG |             0  KG |
|1-07039           |             0  COP|             0  KG |             0  KG |
|1-07056           |             0  COP|             0  KG |             0  KG |
|1-07058           |             0  COP|             0  KG |             0  KG |
|1-07059           |             0  COP|             0  KG |             0  KG |
|1-07160           |             0  COP|             0  KG |             0  KG |
|1-07164           |             0  COP|             0  KG |             0  KG |
|1-07168           |             0  COP|             0  KG |             0  KG |
|1-07328           |             0  COP|             0  KG |             0  KG |
|1-07334           |             0  COP|             0  KG |             0  KG |
|1-07346           |             0  COP|             0  KG |             0  KG |
|1-07349           |             0  COP|             0  KG |             0  KG |
|1-07350           |             0  COP|             0  KG |             0  KG |
|1-07354           |             0  COP|             0  KG |             0  KG |
|1-07355           |             0  COP|             0  KG |             0  KG |
|1-07356           |             0  COP|             0  KG |             0  KG |
|1-07386           |             0  COP|             0  KG |             0  KG |
|1-07414           |             0  COP|             0  KG |             0  KG |
|1-07435           |             0  COP|             0  KG |             0  KG |
|1-07439           |             0  COP|             0  KG |             0  KG |
|1-07484           |             0  COP|             0  KG |             0  KG |
|1-07489           |             0  COP|             0  KG |             0  KG |
|1-07579           |             0  COP|             0  KG |             0  KG |
|1-07594           |             0  COP|             0  KG |             0  KG |
|1-07656           |             0  COP|             0  KG |             0  KG |
|1-07657           |             0  COP|             0  KG |             0  KG |
|1-07659           |             0  COP|             0  KG |             0  KG |
|1-07660           |             0  COP|             0  KG |             0  KG |
|1-07667           |             0  COP|             0  KG |             0  KG |
|1-07668           |             0  COP|             0  KG |             0  KG |
|1-07739           |             0  COP|             0  KG |             0  KG |
|1-07747           |             0  COP|             0  KG |             0  KG |
|1-07854           |             0  COP|             0  KG |             0  KG |
|1-07856           |             0  COP|             0  KG |             0  KG |
|1-07865           |             0  COP|             0  KG |             0  KG |
|1-07896           |             0  COP|             0  KG |             0  KG |
|1-07914           |             0  COP|             0  KG |             0  KG |
|1-07917           |             0  COP|             0  KG |             0  KG |
|1-07920           |             0  COP|             0  KG |             0  KG |
|1-07926           |             0  COP|             0  KG |             0  KG |
|1-07945           |             0  COP|             0  KG |             0  KG |
|1-07954           |             0  COP|             0  KG |             0  KG |
|1-07964           |             0  COP|             0  KG |             0  KG |
|1-07965           |             0  COP|             0  KG |             0  KG |
|1-07976           |             0  COP|             0  KG |             0  KG |
|1-08138           |             0  COP|             0  KG |             0  KG |
|1-08168           |             0  COP|             0  KG |             0  KG |
|1-08180           |             0  COP|             0  KG |             0  KG |
|1-08204           |             0  COP|             0  KG |             0  KG |
|1-08221HT0        |             0  COP|             0  KG |             0  KG |
|1-08258           |             0  COP|             0  KG |             0  KG |
|1-08274           |             0  COP|             0  KG |             0  KG |
|1-08276           |             0  COP|             0  KG |             0  KG |
|1-08285           |             0  COP|             0  KG |             0  KG |
|1-08338           |             0  COP|             0  KG |             0  KG |
|1-08416           |             0  COP|             0  KG |             0  KG |
|1-08506           |             0  COP|             0  KG |             0  KG |
|1-08507           |             0  COP|             0  KG |             0  KG |
|1-08517           |             0  COP|             0  KG |             0  KG |
|1-08737           |             0  COP|             0  KG |             0  KG |
|1-0874-3HS        |             0  COP|             0  KG |             0  KG |
|1-08755           |             0  COP|             0  KG |             0  KG |
|1-08757           |             0  COP|             0  KG |             0  KG |
|1-08758           |             0  COP|             0  KG |             0  KG |
|1-08776           |             0  COP|             0  KG |             0  KG |
|1-08777           |             0  COP|             0  KG |             0  KG |
|1-08778           |             0  COP|             0  KG |             0  KG |
|1-08779           |             0  COP|             0  KG |             0  KG |
|1-08870           |             0  COP|             0  KG |             0  KG |
|1-08874           |             0  COP|             0  KG |             0  KG |
|1-08904           |             0  COP|             0  KG |             0  KG |
|1-08907           |             0  COP|             0  KG |             0  KG |
|1-08915           |             0  COP|             0  KG |             0  KG |
|1-08958           |             0  COP|             0  KG |             0  KG |
|1-08960           |             0  COP|             0  KG |             0  KG |
|1-08964           |             0  COP|             0  KG |             0  KG |
|1-08965           |             0  COP|             0  KG |             0  KG |
|1-08979           |             0  COP|             0  KG |             0  KG |
|1-08989           |             0  COP|             0  KG |             0  KG |
|1-08990           |             0  COP|             0  KG |             0  KG |
|1-08994           |             0  COP|             0  KG |             0  KG |
|1-08995           |             0  COP|             0  KG |             0  KG |
|1-08996           |             0  COP|             0  KG |             0  KG |
|1-08997           |             0  COP|             0  KG |             0  KG |
|1-08998           |             0  COP|             0  KG |             0  KG |
|1-09000           |             0  COP|             0  KG |             0  KG |
|1-09073GA0        |             0  COP|             0  KG |             0  KG |
|1-09159           |             0  COP|             0  KG |             0  KG |
|1-09205           |             0  COP|             0  KG |             0  KG |
|1-09209           |             0  COP|             0  KG |             0  KG |
|1-09210           |             0  COP|             0  KG |             0  KG |
|1-09217           |             0  COP|             0  KG |             0  KG |
|1-09218           |             0  COP|             0  KG |             0  KG |
|1-09285           |             0  COP|             0  KG |             0  KG |
|1-09287           |             0  COP|             0  KG |             0  KG |
|1-09288           |             0  COP|             0  KG |             0  KG |
|1-09290           |             0  COP|             0  KG |             0  KG |
|1-09415           |             0  COP|             0  KG |             0  KG |
|1-09751GS0        |             0  COP|             0  KG |             0  KG |
|1-09761GS0        |             0  COP|             0  KG |             0  KG |
|1-09856           |             0  COP|             0  KG |             0  KG |
|1-09858           |             0  COP|             0  KG |             0  KG |
|1-09874           |             0  COP|             0  KG |             0  KG |
|1-09878           |             0  COP|             0  KG |             0  KG |
|1-09884           |             0  COP|             0  KG |             0  KG |
|1-09886           |             0  COP|             0  KG |             0  KG |
|1-09897           |             0  COP|             0  KG |             0  KG |
|1-09898           |             0  COP|             0  KG |             0  KG |
|1-09915           |             0  COP|             0  KG |             0  KG |
|1-09916           |             0  COP|             0  KG |             0  KG |
|1-09930           |             0  COP|             0  KG |             0  KG |
|1-09941HS0        |             0  COP|             0  KG |             0  KG |
|1-09957           |             0  COP|             0  KG |             0  KG |
|1-09966           |             0  COP|             0  KG |             0  KG |
|1-09986           |             0  COP|             0  KG |             0  KG |
|1-09987           |             0  COP|             0  KG |             0  KG |
|1-09988           |             0  COP|             0  KG |             0  KG |
|1-09989           |             0  COP|             0  KG |             0  KG |
|1-09996           |             0  COP|             0  KG |             0  KG |
|1-09998           |             0  COP|             0  KG |             0  KG |
|1-10019           |             0  COP|             0  KG |             0  KG |
|1-10031GS0        |             0  COP|             0  KG |             0  KG |
|1-10041GS0        |             0  COP|             0  KG |             0  KG |
|1-10060           |             0  COP|             0  KG |             0  KG |
|1-10064           |             0  COP|             0  KG |             0  KG |
|1-10065           |             0  COP|             0  KG |             0  KG |
|1-10067           |             0  COP|             0  KG |             0  KG |
|1-10070           |             0  COP|             0  KG |             0  KG |
|1-10076           |             0  COP|             0  KG |             0  KG |
|1-10078           |             0  COP|             0  KG |             0  KG |
|1-10081GS0        |             0  COP|             0  KG |             0  KG |
|1-10109           |             0  COP|             0  KG |             0  KG |
|1-10120           |             0  COP|             0  KG |             0  KG |
|1-10126           |             0  COP|             0  KG |             0  KG |
|1-10129           |             0  COP|             0  KG |             0  KG |
|1-10196           |             0  COP|             0  KG |             0  KG |
|1-10198           |             0  COP|             0  KG |             0  KG |
|1-10200           |             0  COP|             0  KG |             0  KG |
|1-1021            |             0  COP|             0  KG |             0  KG |
|1-10229           |             0  COP|             0  KG |             0  KG |
|1-10231GS0        |             0  COP|             0  KG |             0  KG |
|1-10241GS0        |             0  COP|             0  KG |             0  KG |
|1-10267           |             0  COP|             0  KG |             0  KG |
|1-10271GS0        |             0  COP|             0  KG |             0  KG |
|1-10291GS0        |             0  COP|             0  KG |             0  KG |
|1-10331GA0        |             0  COP|             0  KG |             0  KG |
|1-10334           |             0  COP|             0  KG |             0  KG |
|1-10339           |             0  COP|             0  KG |             0  KG |
|1-10351HS0        |             0  COP|             0  KG |             0  KG |
|1-10361HS0        |             0  COP|             0  KG |             0  KG |
|1-10364           |             0  COP|             0  KG |             0  KG |
|1-10406           |             0  COP|             0  KG |             0  KG |
|1-10495           |             0  COP|             0  KG |             0  KG |
|1-10501GS0        |             0  COP|             0  KG |             0  KG |
|1-1053            |             0  COP|             0  KG |             0  KG |
|1-10555           |             0  COP|             0  KG |             0  KG |
|1-10567           |             0  COP|             0  KG |             0  KG |
|1-10568           |             0  COP|             0  KG |             0  KG |
|1-10569           |             0  COP|             0  KG |             0  KG |
|1-10585           |             0  COP|             0  KG |             0  KG |
|1-10626           |             0  COP|             0  KG |             0  KG |
|1-10635           |             0  COP|             0  KG |             0  KG |
|1-10649           |             0  COP|             0  KG |             0  KG |
|1-10650           |             0  COP|             0  KG |             0  KG |
|1-10657           |             0  COP|             0  KG |             0  KG |
|1-10658           |             0  COP|             0  KG |             0  KG |
|1-10671GS0        |             0  COP|             0  KG |             0  KG |
|1-10681GS0        |             0  COP|             0  KG |             0  KG |
|1-10685           |             0  COP|             0  KG |             0  KG |
|1-10697           |             0  COP|             0  KG |             0  KG |
|1-10700           |             0  COP|             0  KG |             0  KG |
|1-10704           |             0  COP|             0  KG |             0  KG |
|1-1075            |             0  COP|             0  KG |             0  KG |
|1-10755           |             0  COP|             0  KG |             0  KG |
|1-10776           |             0  COP|             0  KG |             0  KG |
|1-10819           |             0  COP|             0  KG |             0  KG |
|1-10847           |             0  COP|             0  KG |             0  KG |
|1-10848           |             0  COP|             0  KG |             0  KG |
|1-10883GS0        |             0  COP|             0  KG |             0  KG |
|1-10888           |             0  COP|             0  KG |             0  KG |
|1-10918           |             0  COP|             0  KG |             0  KG |
|1-10919           |             0  COP|             0  KG |             0  KG |
|1-10920           |             0  COP|             0  KG |             0  KG |
|1-10924           |             0  COP|             0  KG |             0  KG |
|1-10925           |             0  COP|             0  KG |             0  KG |
|1-10926           |             0  COP|             0  KG |             0  KG |
|1-10929           |             0  COP|             0  KG |             0  KG |
|1-10930           |             0  COP|             0  KG |             0  KG |
|1-10934           |             0  COP|             0  KG |             0  KG |
|1-10935           |             0  COP|             0  KG |             0  KG |
|1-10936           |             0  COP|             0  KG |             0  KG |
|1-10937           |             0  COP|             0  KG |             0  KG |
|1-10938           |             0  COP|             0  KG |             0  KG |
|1-10939           |             0  COP|             0  KG |             0  KG |
|1-10940           |             0  COP|             0  KG |             0  KG |
|1-10944           |             0  COP|             0  KG |             0  KG |
|1-10979           |             0  COP|             0  KG |             0  KG |
|1-10980           |             0  COP|             0  KG |             0  KG |
|1-11038           |             0  COP|             0  KG |             0  KG |
|1-11056           |             0  COP|             0  KG |             0  KG |
|1-11067           |             0  COP|             0  KG |             0  KG |
|1-11068           |             0  COP|             0  KG |             0  KG |
|1-11109           |             0  COP|             0  KG |             0  KG |
|1-11111HS0        |             0  COP|             0  KG |             0  KG |
|1-11117           |             0  COP|             0  KG |             0  KG |
|1-11118           |             0  COP|             0  KG |             0  KG |
|1-11126           |             0  COP|             0  KG |             0  KG |
|1-11134           |             0  COP|             0  KG |             0  KG |
|1-11158           |             0  COP|             0  KG |             0  KG |
|1-11159           |             0  COP|             0  KG |             0  KG |
|1-11165           |             0  COP|             0  KG |             0  KG |
|1-11166           |             0  COP|             0  KG |             0  KG |
|1-11187           |             0  COP|             0  KG |             0  KG |
|1-11200           |             0  COP|             0  KG |             0  KG |
|1-11216           |             0  COP|             0  KG |             0  KG |
|1-11224           |             0  COP|             0  KG |             0  KG |
|1-1128            |             0  COP|             0  KG |             0  KG |
|1-11304           |             0  COP|             0  KG |             0  KG |
|1-11316           |             0  COP|             0  KG |             0  KG |
|1-11371GS0        |             0  COP|             0  KG |             0  KG |
|1-11381GS0        |             0  COP|             0  KG |             0  KG |
|1-11417           |             0  COP|             0  KG |             0  KG |
|1-11445           |             0  COP|             0  KG |             0  KG |
|1-11446           |             0  COP|             0  KG |             0  KG |
|1-11464           |             0  COP|             0  KG |             0  KG |
|1-11511GS0        |             0  COP|             0  KG |             0  KG |
|1-11521GS0        |             0  COP|             0  KG |             0  KG |
