Cantidad Material: 1382
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             |             0  COP|             0  UN |             0  UN |
|0000005094        |             0  COP|             0  UN |             0  UN |
|0000005108        |             0  COP|             0  UN |             0  UN |
|0000006183        |             0  COP|             0  UN |             0  UN |
|0000006297        |             0  COP|             0  UN |             0  UN |
|0000007401        |             0  COP|             0  UN |             0  UN |
|0000007412        |             0  COP|             0  UN |             0  UN |
|0000007423        |             0  COP|             0  UN |             0  UN |
|0000007434        |             0  COP|             0  UN |             0  UN |
|0000007858        |             0  COP|             0  UN |             0  UN |
|0000008486        |             0  COP|             0  UN |             0  UN |
|0000008497        |             0  COP|             0  UN |             0  UN |
|0000008501        |             0  COP|             0  UN |             0  UN |
|0000008512        |             0  COP|             0  UN |             0  UN |
|0000009139        |             0  COP|             0  UN |             0  UN |
|0000009209        |             0  COP|             0  UN |             0  UN |
|0000009210        |             0  COP|             0  UN |             0  UN |
|0000009298        |             0  COP|             0  UN |             0  UN |
|0000009368        |             0  COP|             0  UN |             0  UN |
|0000009379        |             0  COP|             0  UN |             0  UN |
|0000009380        |             0  COP|             0  UN |             0  UN |
|0000009391        |             0  COP|             0  UN |             0  UN |
|0000009405        |             0  COP|             0  UN |             0  UN |
|0000009427        |             0  COP|             0  UN |             0  UN |
|0000009438        |             0  COP|             0  UN |             0  UN |
|0000009449        |             0  COP|             0  UN |             0  UN |
|0000009450        |             0  COP|             0  UN |             0  UN |
|0000009461        |             0  COP|             0  UN |             0  UN |
|0000009472        |             0  COP|             0  UN |             0  UN |
|0000009483        |             0  COP|             0  UN |             0  UN |
|0000009508        |             0  COP|             0  UN |             0  UN |
|0000009519        |             0  COP|             0  UN |             0  UN |
|0000009520        |             0  COP|             0  UN |             0  UN |
|0000009531        |             0  COP|             0  UN |             0  UN |
|0000009597        |             0  COP|             0  UN |             0  UN |
|0000009601        |             0  COP|             0  UN |             0  UN |
|0000009612        |             0  COP|             0  UN |             0  UN |
|0000009634        |             0  COP|             0  UN |             0  UN |
|0000009656        |             0  COP|             0  UN |             0  UN |
|0000009689        |             0  COP|             0  UN |             0  UN |
|0000009690        |             0  COP|             0  UN |             0  UN |
|0000009704        |             0  COP|             0  UN |             0  UN |
|0000009748        |             0  COP|             0  UN |             0  UN |
|0000009760        |             0  COP|             0  UN |             0  UN |
