Cantidad Material: 2288
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             |             0  COP|             0  UN |             0  UN |
|0000003609        |             0  COP|             0  UN |             0  UN |
|0000003610        |             0  COP|             0  UN |             0  UN |
|0000003621        |             0  COP|             0  UN |             0  UN |
|0000003632        |             0  COP|             0  UN |             0  UN |
|0000003687        |             0  COP|             0  UN |             0  UN |
|0000004891        |             0  COP|             0  UN |             0  UN |
|0000004905        |             0  COP|             0  UN |             0  UN |
|0000004916        |             0  COP|             0  UN |             0  UN |
|0000004927        |             0  COP|             0  UN |             0  UN |
|0000004972        |             0  COP|             0  UN |             0  UN |
|0000004994        |             0  COP|             0  UN |             0  UN |
|0000005094        |             0  COP|             0  UN |             0  UN |
|0000005108        |             0  COP|             0  UN |             0  UN |
|0000005430        |             0  COP|             0  UN |             0  UN |
|0000006138        |             0  COP|             0  UN |             0  UN |
|0000006149        |             0  COP|             0  UN |             0  UN |
|0000006150        |             0  COP|             0  UN |             0  UN |
|0000006161        |             0  COP|             0  UN |             0  UN |
|0000006172        |             0  COP|             0  UN |             0  UN |
|0000006183        |             0  COP|             0  UN |             0  UN |
|0000006286        |             0  COP|             0  UN |             0  UN |
|0000006297        |             0  COP|             0  UN |             0  UN |
|0000006390        |             0  COP|             0  UN |             0  UN |
|0000006806        |             0  COP|             0  UN |             0  UN |
|0000007113        |             0  COP|             0  UN |             0  UN |
|0000007294        |             0  COP|             0  UN |             0  UN |
|0000007319        |             0  COP|             0  UN |             0  UN |
|0000007401        |             0  COP|             0  UN |             0  UN |
|0000007434        |             0  COP|             0  UN |             0  UN |
|0000007755        |             0  COP|             0  UN |             0  UN |
|0000007777        |             0  COP|             0  UN |             0  UN |
|0000007788        |             0  COP|             0  UN |             0  UN |
|0000007799        |             0  COP|             0  UN |             0  UN |
|0000007825        |             0  COP|             0  UN |             0  UN |
|0000007869        |             0  COP|             0  UN |             0  UN |
|0000007870        |             0  COP|             0  UN |             0  UN |
|0000007881        |             0  COP|             0  UN |             0  UN |
|0000007892        |             0  COP|             0  UN |             0  UN |
|0000007906        |             0  COP|             0  UN |             0  UN |
|0000007917        |             0  COP|             0  UN |             0  UN |
|0000008486        |             0  COP|             0  UN |             0  UN |
|0000008501        |             0  COP|             0  UN |             0  UN |
|0000008512        |             0  COP|             0  UN |             0  UN |
